Item-Name,Boss-Name,Raid-Instanz,Ruestungstyp
Befehlsbindung der Qiraji,"Viscidus,Prinzessin Huhuran",AQ40,Questgegenstand
Dominanzbindung der Qiraji,"Viscidus,Prinzessin Huhuran",AQ40,Questgegenstand
Stab der Qirajipropheten,Der Prophet Skeram,AQ40,Zweihand
Hammer von Ji'zhi,Der Prophet Skeram,AQ40,Zweihand
Stiefel des gefallenen Propheten,Der Prophet Skeram,AQ40,Stoff
Stiefel des erlösten Propheten,Der Prophet Skeram,AQ40,Platte
Panzerhandschuhe der Vernichtung,Der Prophet Skeram,AQ40,Platte
Beinschützer des unerbittlichen Willens,Der Prophet Skeram,AQ40,Platte
Käferschuppenarmschienen,Der Prophet Skeram,AQ40,Leder
Umhang des geballten Hasses,Der Prophet Skeram,AQ40,Umhang
Anhänger des Qirajiwächters,Der Prophet Skeram,AQ40,Hals
Amulett der üblen Abwehr,Der Prophet Skeram,AQ40,Hals
Ring des wimmelnden Gedankens,Der Prophet Skeram,AQ40,Ring
Sarturas Macht,Schlachtwache Sartura,AQ40,Schildhand
Silithidenkralle,Schlachtwache Sartura,AQ40,Einhand
Abzeichen des Schwarmwächters,Schlachtwache Sartura,AQ40,Schmuckstück
Roben des Schlachtwächters,Schlachtwache Sartura,AQ40,Stoff
Handschuhe der Vollstreckung,Schlachtwache Sartura,AQ40,Leder
Panzerhandschuhe der standhaften Entschlossenheit,Schlachtwache Sartura,AQ40,Platte
Dicker Qirajihautgürtel,Schlachtwache Sartura,AQ40,Leder
Gamaschen des eiternden Schwarms,Schlachtwache Sartura,AQ40,Leder
Schuppengamaschen der Qirajiwut,Schlachtwache Sartura,AQ40,Kette
Beinplatten des lodernden Lichts,Schlachtwache Sartura,AQ40,Platte
Rekonstituierte Stiefel,Schlachtwache Sartura,AQ40,Stoff
Halskette der Reinheit,Schlachtwache Sartura,AQ40,Hals
Kriechende Rankenhelm,Schlachtwache Sartura,AQ40,Leder
Uralter Qirajireißer,Fankriss der Unnachgiebige,AQ40,Einhand
Stachel des Sandhäschers,Fankriss der Unnachgiebige,AQ40,Zweihand
Fetisch des Sandhäschers,Fankriss der Unnachgiebige,AQ40,Schmuckstück
Roben des Schutzheiligen,Fankriss der Unnachgiebige,AQ40,Stoff
Silithidenpanzerbrustschutz,Fankriss der Unnachgiebige,AQ40,Kette
Schultern des unerbittlichen Willens,Fankriss der Unnachgiebige,AQ40,Platte
Mantel der boshaften Rache,Fankriss der Unnachgiebige,AQ40,Stoff
Umhang der unausgesprochenen Geheimnisse,Fankriss der Unnachgiebige,AQ40,Umhang
Schuppengamaschen des Sandhäschers,Fankriss der Unnachgiebige,AQ40,Kette
Stiefel des Höhlengräbers,Fankriss der Unnachgiebige,AQ40,Leder
Stachelbewehrtes Würgeband,Fankriss der Unnachgiebige,AQ40,Hals
Ring der Qirawut,Viscidus,AQ40,Ring
Schleimbedeckte Gamaschen,Viscidus,AQ40,Leder
Panzerhandschuhe von Kalimdor,Viscidus,AQ40,Platte
Geschärfter Silithidenfemur,Viscidus,AQ40,Einhand
Skarabäusbrosche,Viscidus,AQ40,Schmuckstück
Götze der Gesundheit,Viscidus,AQ40,Relikt
Huhurans Stachel,Prinzessin Huhuran,AQ40,Schusswaffe
Ring des Märtyrers,Prinzessin Huhuran,AQ40,Ring
Wespenbalggamaschen,Prinzessin Huhuran,AQ40,Leder
Handschuhe des Messias,Prinzessin Huhuran,AQ40,Stoff
Armschienen des Stockbauverteidigers,Prinzessin Huhuran,AQ40,Platte
Umhang des goldenen Bienenstocks,Prinzessin Huhuran,AQ40,Umhang
Vek'lors Diadem,Die Zwillingsimperatoren,AQ40,Questgegenstand
Vek'nilashs Reif,Die Zwillingsimperatoren,AQ40,Questgegenstand
Kalimdors Rache,Die Zwillingsimperatoren,AQ40,Zweihand
Königliches Szepter von Vek'lor,Die Zwillingsimperatoren,AQ40,Schildhand
Ring von Imperator Vek'lor,Die Zwillingsimperatoren,AQ40,Ring
Amulett von Vek'nilash,Die Zwillingsimperatoren,AQ40,Hals
Vek'lors Handschuhe der Verwüstung,Die Zwillingsimperatoren,AQ40,Stoff
Handschuhe des verborgenen Tempels,Die Zwillingsimperatoren,AQ40,Leder
Armschienen der königlichen Erlösung,Die Zwillingsimperatoren,AQ40,Platte
Königlicher Qirajigurt,Die Zwillingsimperatoren,AQ40,Stoff
Regenerierender Gürtel von Vek'nilash,Die Zwillingsimperatoren,AQ40,Platte
Gurt des gefallenen Imperators,Die Zwillingsimperatoren,AQ40,Leder
Stiefel der Epiphanie,Die Zwillingsimperatoren,AQ40,Stoff
Don Rigobertos verlorener Hut,Ouro,AQ40,Stoff
Gräberarmschienen,Ouro,AQ40,Leder
Jom Gabbar,Ouro,AQ40,Schmuckstück
Der Panzer des Gräbers,Ouro,AQ40,Schild
Larve des großen Wurms,Ouro,AQ40,Schusswaffe
Haut des großen Sandwurms,Ouro,AQ40,Questgegenstand
Ouros intakte Haut,Ouro,AQ40,Questgegenstand
Auge C'Thuns,C'Thun,AQ40,Questgegenstand
Hülle des Alten Gottes,C'Thun,AQ40,Questgegenstand
Panzer des Alten Gottes,C'Thun,AQ40,Questgegenstand
Todesstachel,C'Thun,AQ40,Einhand
Dunkle Klinge des Wahnsinns,C'Thun,AQ40,Zweihand
Amulett des gefallenen Gottes,C'Thun,AQ40,Hals
